Medicine Name,Category Name,Item Type,Opening Stock,Purchase Qty,Closing Quantity
GEMER 2MG STRIP OF 15 TABLETS,GENERAL MEDICINE,PACKET,3::0,322::0,3
GEMER DS 1MG STRIP OF 10 TABLETS,GENERAL MEDICINE,PACKET,2::0,0::0,2
GEMER DS 2MG STRIP OF 10 TABLETS,GENERAL MEDICINE,TAB,4::9,222::0,8
GEMER FORTE 1MG TABLET,GENERAL MEDICINE,CAP,0::0,1::0,0
GEMER FORTE 2MG STRIP OF 10 TABLETS,GENERAL MEDICINE,TAB,8::9,30::0,8
GEMER P 2MG STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,0::0,1::0,0
GEMFRAC,GENERAL MEDICINE,CAP,4::0,6::0,0
GEMINOR 1MG TABLET,GENERAL MEDICINE,STRIP,0::0,0::0,0
GENEVAC B INJ 0.5ML,GENERAL MEDICINE,PACKET,6::0,86::0,21
GENTALAB 40MG INJ 2ML,GENERAL MEDICINE,PACKET,10::0,165::0,14
GENTALAB E/E DROPS 10ML,ENT,BOTTLE,0::0,1::0,0
GENTAVAC,GENERAL MEDICINE,BOTTLE,0::0,1::0,0
GENTIAN VIOLET 1 ML SOLUTION 15 ML,HOSPITAL CPMH,BOTTLE,0::0,1::0,0
GEOFRESH MOUTHWASH,GENERAL MEDICINE,BOTTLE,0::0,1::0,0
GEOFRESH MOUTHWASH 150ML,GENERAL MEDICINE,STRIP,5::5,12::0,3
GERBISA 10 MG SUPPOSITORY 5,GENERAL MEDICINE,BOX,9::0,40::0,9
GERBISA 5MG TABLET,GENERAL MEDICINE,BOX,44::0,785::0,33
GERIPOD-D 8MG CAP,GENERAL MEDICINE,BOX,43::0,283::0,27
GERIPOD 8MG CAPSULE,GENERAL MEDICINE,BOX,31::0,276::0,20
GERISTART 0.4MG STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,0::0,9::0,0
GERMBETA BOTTLE OF 100ML SOLUTION,HOSPITAL CPMH,STRIP,3::9,5::0,3
GESTOFORD 200MG CAPSULE,OBGY,STRIP,1::4,4::0,1
GESTOFORD SR 300MG TABLET 10'S,OBGY,STRIP,0::0,2::0,0
GEMCAL XT TAB 15'S,GENERAL MEDICINE,STRIP,0::0,1::0,0
GEMER 1MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,10::0,30::0,2
GEMER 2MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,2::0,40::0,0
GEMER DS 1MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,2::0,21::0,2
GEMER DS 2MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,2::0,24::0,2
GEMER FORTE 1MG TABLET,GENERAL MEDICINE,STRIP,0::0,3::0,0
GEMER FORTE 2MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,0::0,23::0,0
GEMER P 2MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,1::0,30::0,4
GEMFRAC,GENERAL MEDICINE,INJ,0::0,1::0,0
GEMINOR 1MG TABLET,GENERAL MEDICINE,STRIP,0::0,1::0,0
GENEVAC B INJ 0.5ML,GENERAL MEDICINE,AMPOULE,2::0,2::0,2
GENTALAB 40MG INJ 2ML,GENERAL MEDICINE,INJECTION,2::0,270::0,0
GENTALAB E/E DROPS 10ML,ENT,BOTTLE,0::0,8::0,2
GENTAVAC,GENERAL MEDICINE,INJ,25::0,25::0,0
GENTIAN VIOLET 1 ML SOLUTION 15 ML,HOSPITAL CPMH,INJ,2::0,50::0,2
GEOFRESH MOUTHWASH,GENERAL MEDICINE,INJ,0::0,170::0,52
GEOFRESH MOUTHWASH 150ML,GENERAL MEDICINE,BOTTLE,2::0,9::0,1
GERBISA 10 MG SUPPOSITORY 5,GENERAL MEDICINE,BOTTLE,0::0,60::0,0
GERBISA 5MG TABLET,GENERAL MEDICINE,BOTTLE,5::0,90::0,5
GERIPOD-D 8MG CAP,GENERAL MEDICINE,STRIP,12::0,11::0,14
GERIPOD 8MG CAPSULE,GENERAL MEDICINE,STRIP,1::7,30::0,0
GERISTART 0.4MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,1::0,2::0,0
GERMBETA BOTTLE OF 100ML SOLUTION,HOSPITAL CPMH,STRIP,2::9,96::0,5
GESTOFORD 200MG CAPSULE,OBGY,STRIP,2::0,8::0,2
GESTOFORD SR 300MG TABLET 10'S,OBGY,BOTTLE,0::0,70::0,5
GESTOFORD 200MG CAPSULE,OBGY,STRIP,0::5,50::0,0
GESTOFORD SR 300MG TABLET 10'S,OBGY,STRIP,7::0,10::0,7
GLENPAR 650 MG TABLET 10,GENERAL MEDICINE,BOX,0::0,0::0,0
GLIMEFIDE M 1MG TABLET,GENERAL MEDICINE,STRIP,0::0,21::0,1
GLIMIFIDE M2 FT TAB,GENERAL MEDICINE,STRIP,1::0,1::0,1
GLUCON-D INSTANT ENERGY HEALTH DRINK NIMBU PANI - 1KG JAR,GENERAL MEDICINE,STRIP,0::0,1::0,0
GLUCONORM PG L1 FORTE TAB,GENERAL MEDICINE,JAR,0::0,1::0,0
GLUCORED FORTE STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,0::0,11::0,0
GLUCOZONE TABLET,GENERAL MEDICINE,STRIP,1::0,1::0,1
GLUCRETA M 5/500MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,10::0,40::0,10
GLYCERIN BOTTLE OF 200GM LIQUID,GENERAL MEDICINE,STRIP,0::0,3::0,0
GLYCERINE 100GM,GENERAL MEDICINE,BOTTLE,0::0,1::0,0
GLYCINE IRRIGATION 1.5% INF 3LTR (SKKL),GENERAL MEDICINE,BOTTLE,0::0,0::0,0
GLYCIPHAGE G1 TAB 10'S,GENERAL MEDICINE,INJECTION,3::0,17::0,1
GLYCIPHAGE SR 500MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,0::0,1::0,0
GLYCIPHAGE SR 850MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,0::0,6::0,0
GLYCOMET 1GM STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,0::0,3::0,0
GLYCOMET 500MG STRIP OF 10 TABLETS,GENERAL MEDICINE,INJ,0::0,20::0,17
GLYCOMET 850MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,1::0,1::0,1
GLYCOMET GP 0.5MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,2::0,123::0,6
GLYCOMET GP 1MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,0::0,3::0,0
GLYCOMET GP 2/500MG TABLET SR 15'S,GENERAL MEDICINE,STRIP,4::0,7::0,1
GLYCOMET GP 2MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,2::0,68::0,4
GLYCOMET GP1 FORTE TAB,GENERAL MEDICINE,STRIP,3::5,26::0,2
GLYCOMET GP2 FORTE TAB 10'S,GENERAL MEDICINE,STRIP,0::0,13::0,0
GLYCOMET SR 1GM TAB 15'S,GENERAL MEDICINE,STRIP,4::9,61::0,1
GLYCOMET SR 500MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,0::0,12::0,2
GLYCOMET SR 500MG STRIP OF 20 TABLETS,GENERAL MEDICINE,STRIP,0::0,4::0,0
GLYCOMET SR,GENERAL MEDICINE,STRIP,1::0,15::0,0
GLYNEUTOL INJECTION 100 ML,GENERAL MEDICINE,STRIP,0::10,3::0,0
GOTORCH,GENERAL MEDICINE,TAB,0::0,1::0,0
GP 0.5MG TABLET,GENERAL MEDICINE,INJECTION,0::0,7::0,0
GRANIFORCE MD TABLET,GENERAL MEDICINE,CAP,0::0,30::0,8
GRENIL TABLET,GENERAL MEDICINE,STRIP,0::0,1::0,0
GRILINCTUS BM BOTTLE OF 100ML SYRUP,GENERAL MEDICINE,STRIP,8::8,779::0,6
GRILINCTUS DX SYP,GENERAL MEDICINE,STRIP,4::6,15::0,1
GRILINCTUS LS SYP 100ML,GENERAL MEDICINE,BOTTLE,0::0,2::0,0
GRILINCTUS SYRUP 100ML,GENERAL MEDICINE,BOTTLE,2::0,22::0,5
GRISOLAB 250MG 10'S,GENERAL MEDICINE,BOTTLE,4::0,20::0,0
GTN SORBITRATE CR 2.6MG BOTTLE OF 30 TABLETS,GENERAL MEDICINE,BOTTLE,0::0,80::0,0
GTX CAP 5'S,GENERAL MEDICINE,STRIP,0::0,1::0,1
GUDCEF CV 200MG STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,0::0,2::0,0
GUDGESIC AQUA INJ,GENERAL MEDICINE,STRIP,130::0,142::0,130
GUDLAX PLUS SUGAR FREE BOTTLE OF 110ML SUSPENSION,GENERAL MEDICINE,STRIP,0::0,2::0,0
GUT OK NF STRIP OF 10 CAPSULE,GENERAL MEDICINE,AMPOULE,1::0,60::0,1
GYNOTOCIN 5IU INJ 1ML,OBGY,BOTTLE,3::0,85::0,7
GYNOTRIM KIT,OBGY,INJ,1::0,2::0,0
HAEMADAY PLUS STRIP OF 15 TABLETS,GENERAL MEDICINE,INJ,10::0,10::0,3
HAEMOPROL XT,GENERAL MEDICINE,STRIP,2::1,6::0,2
HALLENS CHILD 2GM SUPPOSITORIES 5'S,PED,AMPOULE,4::0,30::0,12
HAPPI IT CAPSULE,GENERAL MEDICINE,STRIP,2::0,64::0,4
HB FORD AMPOULE OF 5ML SOLUTION FOR INJECTION,GENERAL MEDICINE,STRIP,0::0,1::0,0
HB SET TABLET,GENERAL MEDICINE,SYP,0::0,2::0,0
HCQS 200MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,0::0,2::0,0
HEAL 3D,GENERAL MEDICINE,STRIP,0::0,6::0,0
HEALING OK SYRUP 200ML,GENERAL MEDICINE,AMPOULE,0::0,65::0,0
HEALOCAST PLASTER OF PARIS BANDAGE 15CM X 2.7M,HOSPITAL CPMH,STRIP,0::0,8::0,0
HEALTH OK BOTTLE OF 200ML SYRUP,GENERAL MEDICINE,STRIP,0::0,4::0,0
HEALTH OK SACHET,GENERAL MEDICINE,TAB,3::0,6::0,3
HEALTH OK TABLET 10'S,GENERAL MEDICINE,BOTTLE,0::0,2::0,0
HEALTH OK TABLET 15'S,GENERAL MEDICINE,BOX,0::0,13::0,0
HEPA PRO MIXED FRUIT POWDER 200 GM,GENERAL MEDICINE,BOTTLE,111::0,800::0,72
HEPAMERZ GRANULES 5GM,GENERAL MEDICINE,SACHET,3::0,84::0,3
HEPAMERZ OA SYP 100ML,GENERAL MEDICINE,STRIP,0::0,1::0,0
HEPAMERZ STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,1::0,3::0,1
HEPAMERZ SYP 60ML,GENERAL MEDICINE,PACKET,2::0,11::0,2
HELLO BABY POWDER PUFF SMALL,PED,PACKET,0::0,10::0,0
HEPA PRO MIXED FRUIT POWDER 200 GM,GENERAL MEDICINE,TIN,0::0,1::0,0
HEPAMERZ GRANULES 5GM,GENERAL MEDICINE,SACHET,3::0,5::0,3
HEPAMERZ OA SYP 100ML,GENERAL MEDICINE,BOTTLE,0::0,2::0,2
HEPAMERZ STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,0::0,3::0,2
HEPAMERZ SYP 60ML,GENERAL MEDICINE,BOTTLE,0::0,4::0,0
HEPARIN 25000IU VIAL OF 5ML INJECTION (GLAND PHARMA),GENERAL MEDICINE,VIAL,0::0,1::0,0
HEPARIN 5000IU INJ,GENERAL MEDICINE,INJECTION,2::0,3::0,1
HERMIN INJ 200ML,GENERAL MEDICINE,INFUSION,0::0,2::0,0
HETRODOX LB,GENERAL MEDICINE,INJ,0::0,9::0,0
HIMA BABY WIPES 25'S,PED,CAP,6::4,212::0,7
HIMALAYA CYSTONE TABLETS - 60'S,GENERAL MEDICINE,INJ,8::0,20::0,3
HIMALAYA GASEX TABLETS - 100'S,GENERAL MEDICINE,INJ,10::0,20::0,0
HIMALAYA HIMCOLIN GEL - 30G,GENERAL MEDICINE,INJ,0::0,10::0,9
HIMALAYA LIV.52 SYRUP - 200ML,GENERAL MEDICINE,PACKET,1::0,2::0,1
HIMALAYA LIV.52 TABLETS - 100'S,GENERAL MEDICINE,PACKET,3::0,23::0,3
HINGED KNEE SUPPORT DELUX LARGE,ORTH,BOTTLE,1::0,7::0,1
HINGED KNEE SUPPORT DELUX MEDIUM,ORTH,BOTTLE,0::0,3::0,0
HIP U DRAPE KIT ECO DK511 2 NO'S,HOSPITAL CPMH,BOTTLE,1::0,8::0,0
HISTAFREE M TABLET,GENERAL MEDICINE,BOTTLE,3::0,23::0,3
HISTAKIND M TABLET,GENERAL MEDICINE,BOX,2::0,26::0,2
HITAP ER 50MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,0::0,1::0,0
HOSIT D3 TABLET,GENERAL MEDICINE,BOX,0::0,10::0,0
HOSIT FCM 500 MG,GENERAL MEDICINE,PACKET,0::0,2::0,0
HOSPENTA 40,GENERAL MEDICINE,PACKET,0::0,4::0,0
HOT WATER BAG 1,HOSPITAL CPMH,PACKET,0::0,4::0,0
HOT WATER BAG BSR 1'S,HOSPITAL CPMH,BOTTLE,3::0,27::0,0
HUCOG 10000IU INJECTION,OBGY,BOX,10::0,10::0,10
HUCOG 5000IU INJECTION,OBGY,BOTTLE,5::25,97::0,5
HUCOG HP 10000 IU INJ,OBGY,BOTTLE,0::0,2::0,0
HUCOG HP 5000 IU INJECTION,OBGY,BOTTLE,0::0,4::0,1
HUMAN ACTRAPID 100IU INJ 10ML,GENERAL MEDICINE,BOTTLE,2::25,132::0,2
HUMAN ACTRAPID 40IU VIAL OF 10ML SOLUTION FOR INJECTION,GENERAL MEDICINE,BOX,0::0,2::0,2
HUMAN MIXTARD 30/70 40IU VIAL OF 10ML SUSPENSION FOR INJECTION,GENERAL MEDICINE,PACKET,0::0,1::0,1
HUMAN MIXTARD 40 INJ,GENERAL MEDICINE,PACKET,2::0,5::0,2
HUMAN MIXTARD 50/50 40IU VIAL OF 10ML SUSPENSION FOR INJECTION,GENERAL MEDICINE,STRIP,4::3,61::0,8
HYDROCORT 100MG VIAL OF 1 INJECTION,GENERAL MEDICINE,STRIP,0::8,16::0,0
HYDROGEN PEROXIDE 100ML,HOSPITAL CPMH,STRIP,0::8,2::0,0
HYDROGEN PEROXIDE BOTTLE OF 400ML SOLUTION,HOSPITAL CPMH,STRIP,2::0,16::0,2
HYDROGEN PEROXIDE BOTTLE OF 450ML SOLUTION,HOSPITAL CPMH,INJ,5::0,8::0,4
HYDROHEAL 15/30 GEL 1,GENERAL MEDICINE,INJ,0::0,2::0,0
HYPERNEB 3% RESPULES 4 ML,GENERAL MEDICINE,INJ,0::0,50::0,0
HOT WATER BAG 1,HOSPITAL CPMH,PACKET,1::0,2::0,1
HOT WATER BAG BSR 1'S,HOSPITAL CPMH,PACKET,1::0,1::0,1
HUCOG 10000IU INJECTION,OBGY,DRY VIAL,1::0,13::0,0
HUCOG 5000IU INJECTION,OBGY,DRY VIAL,0::0,7::0,0
HUCOG HP 10000 IU INJ,OBGY,DRY VIAL,0::0,2::0,0
HUCOG HP 5000 IU INJECTION,OBGY,DRY VIAL,2::0,5::0,1
HUMAN ACTRAPID 100IU INJ 10ML,GENERAL MEDICINE,INJECTION,0::0,25::0,3
HUMAN ACTRAPID 40IU VIAL OF 10ML SOLUTION,GENERAL MEDICINE,VIAL,0::0,27::0,0
HUMAN MIXTARD 30/70 40IU VIAL OF 10ML,GENERAL MEDICINE,VIAL,0::0,1::0,0
HUMAN MIXTARD 40 INJ,GENERAL MEDICINE,VIAL,3::0,20::0,4
HUMAN MIXTARD 50/50 40IU VIAL OF 10ML,GENERAL MEDICINE,VIAL,0::0,3::0,0
HYDROCORT 100MG VIAL OF 1 INJECTION,GENERAL MEDICINE,DRY VIAL,0::0,6::0,0
HYDROGEN PEROXIDE 100ML,HOSPITAL CPMH,BOTTLE,20::0,58::0,19
HYDROGEN PEROXIDE BOTTLE OF 400ML SOLUTION,HOSPITAL CPMH,BOTTLE,21::0,116::0,5
HYDROGEN PEROXIDE BOTTLE OF 450ML SOLUTION,HOSPITAL CPMH,BOTTLE,0::0,34::0,0
HYDROHEAL 15/30 GEL 1,GENERAL MEDICINE,TUBE,0::0,1::0,0
HYPERNEB 3% RESPULES 4 ML,GENERAL MEDICINE,PACKET,0::0,4::0,0
I.V SET 1,GENERAL SURGERY,INJ,0::0,6::0,0
IBUGESIC AP TABLET,GENERAL MEDICINE,BOX,0::0,200::0,68
IBUGESIC PLUS ORANGE FLAV SUSP 60ML,GENERAL MEDICINE,STRIP,0::0,10::0,0
IBUGESIC PLUS STRAWBERRY FLAV SUSP 100ML,GENERAL MEDICINE,BOTTLE,0::0,12::0,2
IBUGESIC PLUS STRIP OF 20 TABLETS,GENERAL MEDICINE,BOTTLE,0::0,1::0,1
IBUGESIC PLUS SUSP 100ML,GENERAL MEDICINE,STRIP,1::13,54::0,0
IBUGESIC PLUS SUSP 60ML,GENERAL MEDICINE,BOTTLE,0::0,61::0,0
IFIMOL INF,GENERAL MEDICINE,BOTTLE,9::55,185::0,0
IFLURANE,GENERAL MEDICINE,VIAL,13::0,31::0,13
IMFIT TAB,GENERAL MEDICINE,LIQUID,0::0,5::0,0
IMMU C PLUS STRIP OF 10 CHEWABLE TABLETS,GENERAL MEDICINE,LIQUID,0::0,5::0,1
IMVITA PROTIN,GENERAL MEDICINE,STRIP,46::5,920::0,29
INAC 50MG TABLET,GENERAL MEDICINE,STRIP,0::0,1869::0,0
INDIFOL 10ML,GENERAL MEDICINE,POWDER,41::0,835::0,11
INDOCAP 25MG CAP,GENERAL MEDICINE,STRIP,0::0,1::0,0
INJEK 1MG INJ,GENERAL MEDICINE,INJ,4::0,6::0,4
INSTACAL K27,GENERAL MEDICINE,STRIP,0::0,101::0,6
INSTARAFT BOTTLE OF 100ML SUSPENSION,GENERAL MEDICINE,AMPOULE,3::0,10::0,3
INSULIN (B.D) SYRINGE 100 IU INJECTION 1 ML,GENERAL MEDICINE,TAB,21::5,387::0,33
INSULIN SYRINGE 31G X 6 MM U-40 (PACK 10),GENERAL MEDICINE,BOTTLE,0::0,1::0,0
INTIWASH BOTTLE OF 100ML HYGIENE WASH,GENERAL MEDICINE,INJECTION,0::0,9::0,0
INTIWASH BOTTLE OF 50ML HYGIENE WASH,GENERAL MEDICINE,PACKET,24::0,70::0,3
INTRA CATHETER NG 18,GENERAL SURGERY,BOTTLE,6::0,63::0,7
INZAN I.V INFUSION,GENERAL MEDICINE,BOTTLE,0::0,62::0,1
IOBAN 6650,HOSPITAL CPMH,PACKET,0::0,1::0,0
IOBAN 6650 3M,HOSPITAL CPMH,400MG,0::0,14::0,0
ISOFLURANE BOTTLE OF 250ML INHALATION LIQUID,GENERAL MEDICINE,BOX,2::0,5::0,1
ISOFLURANE INHALATION 100ML,GENERAL MEDICINE,PACKET,6::0,5::0,6
ISTAMET 50/1000MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,0::0,0::0,0
ISTAMET 50/500MG TABLET 15'S,GENERAL MEDICINE,BOTTLE,1::0,3::0,0
ISTAMET XR CP TABLET 7'S,GENERAL MEDICINE,STRIP,0::0,2::0,0
ISTAVEL 100MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,0::0,4::0,0
ISTAVEL 50MG STRIP OF 7 TABLETS,GENERAL MEDICINE,STRIP,0::0,1::0,0
IT MAC SB,GENERAL MEDICINE,STRIP,0::0,6::0,3
ITROFAB 200,GENERAL MEDICINE,STRIP,0::0,29::0,0
ITROTOP 100MG STRIP OF 4 CAPSULES,GENERAL MEDICINE,TAB,2::2,10::0,0
IVABRAD 5MG STRIP OF 10 TABLETS,GENERAL MEDICINE,CAP,,2::0,0
IVABRAD 5MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,1::0,1::0,1
IVCROS INJ,GENERAL MEDICINE,SET,0::0,450::0,0
IVIFEN INF,GENERAL MEDICINE,IV SET,183::0,600::0,183
JANUVIA 100MG STRIP OF 7 TABLETS,GENERAL MEDICINE,STRIP,0::3,5::0,0
JANUVIA 50MG STRIP OF 7 TABLETS,GENERAL MEDICINE,STRIP,0::0,1::0,0
JESSICA QF TABLET 10'S,OBGY,INJECTION,10::0,10::0,0
JOINTACE DN STRIP OF 15 TABLETS,ORTH,INJECTION,5::0,20::0,0
JONAC 100 MG SUPPOSITORY 5 X 3,GENERAL MEDICINE,STRIP,0::0,1::0,0
JANUVIA 50MG STRIP OF 7 TABLETS,GENERAL MEDICINE,STRIP,0::0,1::0,0
JESSICA QF TABLET 10'S,OBGY,STRIP,1::0,13::0,1
JOINTACE DN STRIP OF 15 TABLETS,ORTH,STRIP,0::0,63::0,0
JONAC 100 MG SUPPOSITORY 5 X 3,GENERAL MEDICINE,STRIP,0::0,1::0,0
JUSTIN 100MG STRIP OF 5 SUPPOSITORY,GENERAL MEDICINE,ADULT,1::0,2::0,0
JUSTIN 25 MG INJECTION 1 ML,GENERAL MEDICINE,CIRCUIT,0::0,1::0,0
JUSTIN AQ INJ 1ML,GENERAL MEDICINE,COTTON ROLL,6::0,50::0,0
KARE MADE AD,GENERAL MEDICINE,STRIP,29::4,132::0,24
KARVOL PLUS CAP,GENERAL MEDICINE,INJECTION,5::0,2::0,5
KEFLOR 125MG ORAL SUSPENSION 30ML,GENERAL MEDICINE,AMPOULE,27::0,60::0,0
KEFLOR 187MG SUSP 30ML,GENERAL MEDICINE,PACKET,0::0,0::0,0
KEFLOR 50MG BOTTLE OF 10ML SUSPENSION,GENERAL MEDICINE,BOX,0::0,10::0,0
KELOSCAR,GENERAL MEDICINE,STIKING,0::0,0::0,0
KENACORT 0.1% ORAL PASTE 5GM,GENERAL MEDICINE,DYPER,0::0,1::0,0
KESOL 20 RASPBERRY FLAVOUR SUGAR FREE BOTTLE,GENERAL MEDICINE,DYPER,0::0,1::0,0
KESOL 20 SYRUP 200ML,GENERAL MEDICINE,STRIP,2::4,14::0,2
KETO SOAP 100GM,GENERAL MEDICINE,BOTTLE,0::0,2::0,0
KETOFRESH,GENERAL MEDICINE,BOTTLE,0::0,1::0,1
KETOPLAST PACKET OF 7 PLASTERS,GENERAL MEDICINE,BOTTLE,0::0,0::0,0
KETOROL DT 10MG STRIP OF 15 TABLETS,GENERAL MEDICINE,GEL,0::0,2::0,0
KETOS 2% SOAP,GENERAL MEDICINE,INJ,0::0,100::0,0
KETZ SHAMPOO,GENERAL MEDICINE,INJ,4::0,20::0,2
KIT KAT,GENERAL MEDICINE,TUBE,0::0,2::0,0
KITKATH+ IV CANNULA WITH INJECTION PORT 18G,GENERAL SURGERY,INJ,1::0,9::0,1
KITKATH+ IV CANNULA WITH INJECTION PORT 20G,GENERAL SURGERY,BOTTLE,2::0,41::0,1
KITKATH+ IV CANNULA WITH INJECTION PORT 22G,GENERAL SURGERY,BOTTLE,0::0,0::0,0
KITKATH+ IV CANNULA WITH INJECTION PORT 24G,GENERAL SURGERY,WRAP,0::0,2::0,0
KITKATH+ IV CANNULA WITHOUT INJECTION PORT 18G,GENERAL SURGERY,SHAMPOO,0::0,24::0,0
KITKATH+ IV CANNULA WITHOUT INJECTION PORT 20G,GENERAL SURGERY,PACKET,0::0,3::0,0
KLOTIN 500MG INJ,GENERAL MEDICINE,STRIP,0::0,1::0,0
KNEE,ORTH,WRAP,0::0,0::0,0
KNEE BRACE 12IN XL,ORTH,BOTTLE,0::0,10::0,0
KNEE CAP - XL D04,ORTH,INJ,18::0,210::0,9
KNEE CAP,ORTH,CHOCOLATE,1::0,60::0,1
KNEE CAP EXTRA LARGE,ORTH,BOX,7::0,105::0,3
KNEE CAP MEDIUM D04,ORTH,BOX,78::0,1943::0,0
KNEE CAP MEDIUM D04 - 1 NUMBERS,ORTH,BOX,48::0,470::0,66
KNEE CAP MEDIUM FLAMINGO 1,ORTH,BOX,6::0,40::0,9
KNEE CAP SEGO XL 1'S,ORTH,BOX,0::0,20::0,0
KNEE CAP SIZE MEDIUM 1,ORTH,BOX,15::0,20::0,15
KNEE CAP SMALL,ORTH,INJ,0::0,100::0,0
KNEE CAP,ORTH,INJECTION,3::0,174::0,1
KNEE IMMOBILISER SMALL D11 D28 19 INCH,ORTH,BRACE,0::0,2::0,0
KNEE IMMOBILIZER XL D-11,ORTH,PACKET,0::0,1::0,0
KNEE SUPPORT OLYMPIAN MEDIUM,ORTH,BRACE,0::0,3::0,1
KOFAREST PD BOTTLE OF 100ML SYRUP,GENERAL MEDICINE,BOX,0::0,0::0,0
KNEE CAP,ORTH,MEDIUM,4::0,16::0,8
KNEE CAP EXTRA LARGE,ORTH,BOX,0::0,0::0,0
KNEE CAP MEDIUM D04,ORTH,BOX,0::0,0::0,0
KNEE CAP MEDIUM D04 - 1 NUMBERS,ORTH,BOX,2::0,4::0,2
KNEE CAP MEDIUM FLAMINGO 1,ORTH,PACKET,0::0,5::0,0
KNEE CAP SEGO XL 1'S,ORTH,PACKET,0::0,0::0,0
KNEE CAP SIZE MEDIUM 1,ORTH,PACKET,0::0,0::0,0
KNEE CAP SMALL,ORTH,BOX,,1::0,3
KNEE CAP,ORTH,XL,7::0,12::0,7
KNEE IMMOBILISER SMALL D11 D28 19 INCH,ORTH,BOX,0::0,1::0,0
KNEE IMMOBILIZER XL D-11,ORTH,BOX,0::0,1::0,0
KNEE SUPPORT OLYMPIAN MEDIUM,ORTH,BOX,2::0,2::0,2
KOFAREST PD BOTTLE OF 100ML SYRUP,GENERAL MEDICINE,BOTTLE,0::0,8::0,0
KOLQ STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,3::4,15::0,3
KORNISH GAMZEE ROLL 15CM 3M,HOSPITAL CPMH,PACKET,2::0,10::0,2
KRACK 50GM,GENERAL MEDICINE,TUBE,0::0,2::0,0
KROVEC 10MG INJ,GENERAL MEDICINE,INJECTION,6::0,11::0,1
KZ,GENERAL MEDICINE,CREAM,1::0,1::0,1
L S BELT MEDIUM,ORTH,GOLD,2::0,4::0,2
LABEBET 100MG TABLET,GENERAL MEDICINE,STRIP,3::0,64::0,4
LABLOL INJ 4ML,GENERAL MEDICINE,INJECTION,2::0,34::0,0
LACTARE BOTTLE OF 200GM GRANULES,GENERAL MEDICINE,BOTTLE,3::0,13::0,0
LACTARE CAPSULE,GENERAL MEDICINE,STRIP,0::23,16::0,0
LACTO CALAMINE OIL CONTROL LOTION BOTTLE OF 60 ML,GENERAL MEDICINE,BOTTLE,0::0,7::0,0
LACTOCALAMINE ALOE MOIST LOTION 30ML,GENERAL MEDICINE,BOTTLE,0::0,28::0,5
LACTOCALAMINE ALOE MOIST LOTION 60 ML,GENERAL MEDICINE,BOTTLE,3::0,29::0,0
LACTOGEN 1 POWDER 1KG TIN,PED,TIN,0::0,16::0,2
LACTOGEN 1 POWDER 200 G,PED,REFILL,0::0,3::0,0
LACTOGEN PRO 1 POWDER 400,PED,POWDER,2::0,5::0,0
LANOL,GENERAL MEDICINE,POWDER,0::0,20::0,0
LANOL ER STRIP OF 10 TABLETS,GENERAL MEDICINE,INFUSION,0::0,50::0,0
LANTUS 100IU CARTRIDGE OF 3ML SOLUTION FOR INJECTION,GENERAL MEDICINE,STRIP,6::8,234::0,0
LANTUS SOLOSTAR 100IU PRE FILLED PEN OF 30ML INJECTION,GENERAL MEDICINE,CARTRIDGE,0::0,1::0,0
LANTUS SOLOSTAR 100IU PRE FILLED PEN OF 3ML SOLUTION FOR INJECTION,GENERAL MEDICINE,PRE-FILLED PEN,0::0,0::0,0
LANZOL 15 MG SACHET 5.6 GM,GENERAL MEDICINE,PRE-FILLED PEN,0::0,1::0,0
LANZOL 15MG STRIP OF 10 CAPSULES,GENERAL MEDICINE,SACHET,0::3,1::0,0
